Campaign Number,Name,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Likes,Clicks,Conversions, Expense ,Executive,CampaignType,Total Sales
830,Campaign 830,2023-10-07 00:00:00,2023-11-02 00:00:00,Facebook,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Teens 13-19,India,60110,5095,2107,649,"$14,084.61",Lauren Riggs,Sales,"$25,790.71"
831,Campaign 831,2023-02-13 00:00:00,2023-03-15 00:00:00,Instagram,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Female 18-40,Japan,38888,538,1187,904,"$2,555.80",Lauren Riggs,Sales,"$31,705.64"
832,Campaign 832,2023-01-21 00:00:00,2023-02-07 00:00:00,Instagram,Nunez-Bowers,"6821 Walker Via Suite 228, Lake Jessica, NE 05036-1909",michelle44@yahoo.com,(186)438-4897,James Woods,Adults 40-60,Japan,23429,2964,1844,182,"$26,889.78",Wesley Simon,Sales,"$49,649.17"
833,Campaign 833,2023-11-05 00:00:00,2023-11-25 00:00:00,Facebook,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Adults 18-40,Europe,91185,2328,341,401,"$43,651.68",Lauren Riggs,Sales,"$56,214.93"
834,Campaign 834,2023-09-29 00:00:00,2023-10-04 00:00:00,YouTube,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Adults 40-60,LATAM,39709,9678,989,419,"$26,981.44",Lauren Riggs,Sales,"$33,549.28"
835,Campaign 835,2023-04-28 00:00:00,2023-05-12 00:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 40-60,Europe,96093,668,4457,46,"$18,024.96",Thomas Ryan,Sign Up,$0.00
836,Campaign 836,2023-06-03 00:00:00,2023-06-19 00:00:00,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Adults 18-40,UK,44087,1757,1208,798,"$33,608.16",Thomas Ryan,Sales,"$43,839.66"
837,Campaign 837,2023-07-09 00:00:00,2023-07-24 00:00:00,YouTube,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Female 40-60,Australia,99484,9303,3813,51,"$41,032.62",Melissa Haynes,Sign Up,$0.00
838,Campaign 838,2023-01-13 00:00:00,2023-02-04 00:00:00,YouTube,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Female 40-60,LATAM,53031,6198,3197,659,"$27,901.89",Kyle Serrano,Sales,"$55,934.84"
839,Campaign 839,2023-11-27 00:00:00,2023-12-05 00:00:00,Facebook,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Male 60+,UK,34219,196,3516,112,"$15,945.78",Lauren Riggs,Sales,"$47,201.20"
840,Campaign 840,2023-04-23 00:00:00,2023-04-28 00:00:00,Instagram,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Seniors 60+,UK,32127,6996,417,347,"$19,454.03",Aaron Faulkner,Sign Up,$0.00
841,Campaign 841,2023-10-18 00:00:00,2023-10-26 00:00:00,TikTok,Benjamin and Sons,"861 Knox Cape Apt. 731, Lake John, CA 62474",lrice@yahoo.com,#ERROR!,Derek Juarez,Male 40-60,UK,12076,8918,1043,718,"$49,348.57",Thomas Ryan,Sign Up,$0.00
842,Campaign 842,2023-02-05 00:00:00,2023-02-06 00:00:00,Instagram,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Seniors 60+,USA,26586,3119,593,457,"$47,195.85",Lauren Riggs,Sign Up,$0.00
843,Campaign 843,2023-10-10 00:00:00,2023-11-09 00:00:00,Email,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Adults 18-40,Australia,98648,9609,2073,543,"$28,822.16",Aaron Faulkner,Sign Up,$0.00
844,Campaign 844,2023-06-04 00:00:00,2023-06-19 00:00:00,TikTok,Griffin LLC,"4454 Tanya Bridge Apt. 797, East Johnmouth, AR 45759",carlos94@ware.org,498-209-6317,Karen Mitchell,Female 40-60,Canada,32526,7646,3493,966,"$10,180.14",Brandon Townsend Jr.,Sales,"$64,010.65"
845,Campaign 845,2023-07-04 00:00:00,2023-07-25 00:00:00,TikTok,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Seniors 60+,Japan,84010,7955,3411,742,"$11,007.12",Kyle Serrano,Sales,"$32,327.00"
846,Campaign 846,2023-12-20 00:00:00,2024-01-10 00:00:00,Facebook,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Male 60+,USA,26764,8941,2999,46,"$17,842.97",Aaron Faulkner,Sales,"$57,153.40"
847,Campaign 847,2023-08-18 00:00:00,2023-09-05 00:00:00,Instagram,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Male 18-40,LATAM,1198,3144,3259,586,"$27,010.88",Brandon Townsend Jr.,Sales,"$47,333.70"
848,Campaign 848,2023-05-20 00:00:00,2023-06-19 00:00:00,Email,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Seniors 60+,Japan,83224,5983,3018,37,"$27,489.28",Melissa Haynes,Sales,"$44,003.60"
849,Campaign 849,2023-09-01 00:00:00,2023-09-28 00:00:00,Instagram,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Male 40-60,Canada,53328,6870,1936,626,"$28,740.01",Lauren Riggs,Sales,"$68,718.19"
850,Campaign 850,2023-12-23 00:00:00,2024-01-02 00:00:00,Facebook,"Ruiz, Cox and Meyer","5058 Frank Locks, Blackmouth, MI 07896",vjohnson@yahoo.com,#ERROR!,Anne Davis,Adults 18-40,LATAM,35351,2491,4985,408,$545.23,Aaron Faulkner,Sales,"$76,602.83"
851,Campaign 851,2023-09-17 00:00:00,2023-09-24 00:00:00,YouTube,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Male 40-60,Canada,7988,5931,2193,890,"$29,478.89",Thomas Ryan,Sales,"$45,110.49"
852,Campaign 852,2023-10-25 00:00:00,2023-10-30 00:00:00,Facebook,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Male 40-60,Japan,7871,4995,4860,256,"$30,041.80",Jesus Rivera,Sales,"$36,019.39"
853,Campaign 853,2023-06-01 00:00:00,2023-06-11 00:00:00,YouTube,Williams PLC,"911 Thomas Manors, Longchester, ID 62649-9748",sanchezangela@butler.com,(881)589-7098x1186,Reginald Lee,Male 40-60,UK,88315,5992,3201,209,"$8,499.97",Michael Camacho,Sales,"$34,457.04"
854,Campaign 854,2023-06-29 00:00:00,2023-07-07 00:00:00,TikTok,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 40-60,Australia,25730,7724,1232,831,"$2,563.07",Melissa Haynes,Sales,"$41,549.86"
855,Campaign 855,2023-11-16 00:00:00,2023-12-12 00:00:00,TikTok,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Male 60+,UK,22881,3125,2829,311,"$44,007.76",Jesus Rivera,Sign Up,$0.00
856,Campaign 856,2023-04-28 00:00:00,2023-05-11 00:00:00,TikTok,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Seniors 60+,Canada,11247,6633,2831,961,"$29,448.34",Brandon Townsend Jr.,Sales,"$23,153.00"
857,Campaign 857,2023-02-23 00:00:00,2023-03-12 00:00:00,Instagram,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Adults 18-40,LATAM,63398,5775,4259,384,"$15,145.96",Becky Brown,Sales,"$46,583.27"
858,Campaign 858,2023-05-17 00:00:00,2023-05-26 00:00:00,Facebook,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 40-60,Japan,29618,6602,1133,849,"$40,858.02",Jesus Rivera,Sales,"$28,709.90"
859,Campaign 859,2023-10-19 00:00:00,2023-11-08 00:00:00,Email,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 60+,Europe,19813,9435,3068,357,"$9,185.31",Kyle Serrano,Sales,"$99,293.51"
860,Campaign 860,2023-07-15 00:00:00,2023-07-21 00:00:00,Instagram,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Male 18-40,Japan,34773,1920,2085,685,$920.53,Brandon Townsend Jr.,Sign Up,$0.00
861,Campaign 861,2023-05-16 00:00:00,2023-05-23 00:00:00,Instagram,Thomas-Proctor,"820 Butler Streets Suite 875, North Denisehaven, WV 66736-0964",brownmario@leonard.com,371.890.0231,Angela Moore,Male 60+,Japan,95846,8079,3964,993,"$35,891.28",Wesley Simon,Sales,"$23,153.00"
862,Campaign 862,2023-03-24 00:00:00,2023-04-20 00:00:00,Facebook,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Teens 13-19,UK,68076,2605,1694,870,"$6,964.98",Michael Camacho,Sales,"$41,561.29"
863,Campaign 863,2023-06-16 00:00:00,2023-07-04 00:00:00,TikTok,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Female 18-40,UK,30439,5578,3592,181,"$6,429.05",Kyle Serrano,Sales,"$41,558.78"
864,Campaign 864,2023-05-30 00:00:00,2023-06-27 00:00:00,YouTube,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Seniors 60+,LATAM,38314,6965,1277,198,"$14,869.20",Michael Camacho,Sales,"$67,164.85"
865,Campaign 865,2023-03-21 00:00:00,2023-04-10 00:00:00,TikTok,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Adults 18-40,USA,96951,1554,3285,549,"$20,361.86",Jesus Rivera,Sales,"$79,249.75"
866,Campaign 866,2023-11-13 00:00:00,2023-12-07 00:00:00,YouTube,"Brown, Lawrence and Collins","069 Jeffrey Neck, North Jeffreyberg, VI 70669-3291",tracyfields@evans.com,1-351-320-8584x4902,Thomas Fleming,Teens 13-19,India,64324,3582,3319,351,"$5,968.48",Michael Camacho,Sales,"$38,681.43"
867,Campaign 867,2023-10-12 00:00:00,2023-10-28 00:00:00,YouTube,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Male 60+,UK,42702,4498,3455,648,"$44,258.99",Aaron Faulkner,Sales,"$50,185.59"
868,Campaign 868,2023-09-08 00:00:00,2023-09-18 00:00:00,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Adults 40-60,LATAM,39144,1049,3287,887,"$21,190.99",Thomas Ryan,Sales,"$64,781.67"
869,Campaign 869,2023-05-09 00:00:00,2023-05-19 00:00:00,Email,Griffin Inc,"Unit 3822 Box 8338, DPO AE 21031-0227",dixonamber@hotmail.com,(880)002-0608x56308,Theodore Murphy,Female 40-60,India,13836,7220,814,858,"$32,857.64",Brandon Townsend Jr.,Sales,"$83,041.81"
870,Campaign 870,2023-03-26 00:00:00,2023-04-09 00:00:00,TikTok,"Ruiz, Cox and Meyer","5058 Frank Locks, Blackmouth, MI 07896",vjohnson@yahoo.com,#ERROR!,Anne Davis,Female 60+,Europe,3417,3052,4780,327,"$36,436.56",Aaron Faulkner,Sign Up,$0.00
871,Campaign 871,2023-03-12 00:00:00,2023-04-02 00:00:00,Instagram,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Female 18-40,UK,15825,1326,1537,604,"$24,421.87",Thomas Ryan,Sales,"$67,099.86"
872,Campaign 872,2023-09-06 00:00:00,2023-09-13 00:00:00,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 40-60,LATAM,46222,4996,1993,168,"$33,386.46",Lauren Riggs,Sales,"$57,473.35"
873,Campaign 873,2023-07-04 00:00:00,2023-07-28 00:00:00,Instagram,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Male 60+,Australia,20426,6422,4266,364,$783.24,Brandon Townsend Jr.,Sales,"$80,667.14"
874,Campaign 874,2023-07-14 00:00:00,2023-07-17 00:00:00,YouTube,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Adults 18-40,Japan,67984,5312,3298,476,"$5,383.47",Thomas Ryan,Sales,"$53,956.84"
875,Campaign 875,2023-01-28 00:00:00,2023-02-16 00:00:00,YouTube,Benjamin and Sons,"861 Knox Cape Apt. 731, Lake John, CA 62474",lrice@yahoo.com,#ERROR!,Derek Juarez,Adults 40-60,UK,53100,3293,4804,895,"$32,849.93",Thomas Ryan,Sign Up,$0.00
876,Campaign 876,2023-07-07 00:00:00,2023-07-22 00:00:00,TikTok,Griffin Inc,"Unit 3822 Box 8338, DPO AE 21031-0227",dixonamber@hotmail.com,(880)002-0608x56308,Theodore Murphy,Female 60+,Australia,58038,9097,736,365,"$17,184.09",Brandon Townsend Jr.,Sign Up,$0.00
877,Campaign 877,2023-09-23 00:00:00,2023-10-14 00:00:00,TikTok,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Female 40-60,UK,72078,3367,4343,165,"$19,531.06",Brandon Townsend Jr.,Sales,"$54,070.74"
878,Campaign 878,2023-07-30 00:00:00,2023-08-02 00:00:00,Instagram,Hughes-Sullivan,"5874 Guerra Courts Suite 368, South Codyhaven, OR 93465",williamsnathaniel@yahoo.com,415-860-7532,Roy Obrien,Female 60+,LATAM,58030,5475,4502,693,"$19,558.42",Brandon Townsend Jr.,Sales,"$73,081.05"
879,Campaign 879,2023-05-21 00:00:00,2023-06-14 00:00:00,TikTok,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Female 60+,Australia,66822,8635,1873,855,"$14,368.25",Thomas Ryan,Sales,"$44,217.92"
880,Campaign 880,2023-06-12 00:00:00,2023-07-03 00:00:00,TikTok,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Adults 18-40,USA,28429,8108,3085,274,"$9,366.41",Thomas Ryan,Sales,"$69,933.44"
881,Campaign 881,2023-08-05 00:00:00,2023-08-26 00:00:00,YouTube,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Male 60+,UK,79102,9894,4935,763,"$5,428.55",Brandon Townsend Jr.,Sales,"$23,153.00"
882,Campaign 882,2023-08-25 00:00:00,2023-09-08 00:00:00,Email,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,#ERROR!,Eric Harrison,Male 60+,USA,10819,4107,3279,239,"$30,317.95",Kyle Serrano,Sign Up,$0.00
883,Campaign 883,2023-08-01 00:00:00,2023-08-05 00:00:00,TikTok,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Teens 13-19,USA,45731,5951,3968,80,"$21,554.45",Wesley Simon,Sales,"$55,137.33"
884,Campaign 884,2023-07-05 00:00:00,2023-07-12 00:00:00,Email,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Female 60+,Japan,47445,1374,3730,650,"$40,323.09",Melissa Haynes,Sales,"$59,526.14"
885,Campaign 885,2023-12-29 00:00:00,2023-12-30 00:00:00,Email,Williams PLC,"911 Thomas Manors, Longchester, ID 62649-9748",sanchezangela@butler.com,(881)589-7098x1186,Reginald Lee,Male 60+,LATAM,13655,6713,394,495,"$10,233.14",Michael Camacho,Sales,"$50,802.89"
886,Campaign 886,2023-06-25 00:00:00,2023-07-15 00:00:00,Facebook,Benjamin and Sons,"861 Knox Cape Apt. 731, Lake John, CA 62474",lrice@yahoo.com,#ERROR!,Derek Juarez,Teens 13-19,LATAM,34530,2555,2006,873,"$18,940.19",Thomas Ryan,Sign Up,$0.00
887,Campaign 887,2023-07-21 00:00:00,2023-07-26 00:00:00,Instagram,Griffin LLC,"4454 Tanya Bridge Apt. 797, East Johnmouth, AR 45759",carlos94@ware.org,498-209-6317,Karen Mitchell,Female 18-40,Japan,48243,9730,1972,180,"$7,385.81",Brandon Townsend Jr.,Sales,"$87,925.21"
888,Campaign 888,2023-08-24 00:00:00,2023-09-22 00:00:00,YouTube,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Adults 18-40,LATAM,11321,6508,4118,575,"$35,826.23",Lauren Riggs,Sign Up,$0.00
889,Campaign 889,2023-04-08 00:00:00,2023-04-26 00:00:00,Instagram,Fisher-Johnston,"36491 Jennifer Park Suite 248, East David, PA 71082-4715",rellis@lindsey.com,580.281.9976x2452,Timothy Hernandez,Female 18-40,Japan,98711,4948,2859,979,"$3,419.71",Jesus Rivera,Sign Up,$0.00
890,Campaign 890,2023-04-24 00:00:00,2023-05-22 00:00:00,Facebook,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 18-40,India,87693,3881,1477,190,"$8,565.87",Wesley Simon,Sign Up,$0.00
891,Campaign 891,2023-05-25 00:00:00,2023-06-19 00:00:00,YouTube,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Male 40-60,Canada,99908,4829,2440,24,"$3,711.84",Jesus Rivera,Sales,"$32,775.39"
892,Campaign 892,2023-01-21 00:00:00,2023-01-22 00:00:00,Email,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 18-40,LATAM,31471,6171,3626,170,"$28,438.21",Lauren Riggs,Sales,"$104,416.17"
893,Campaign 893,2023-12-20 00:00:00,2023-12-28 00:00:00,TikTok,Daniels Group,"567 Jill Motorway, Sarabury, GU 20455-6244",michael10@gmail.com,(644)568-8783,Annette Rice,Male 40-60,LATAM,64605,6850,2932,728,"$13,945.34",Wesley Simon,Sales,"$61,763.17"
894,Campaign 894,2023-09-01 00:00:00,2023-09-16 00:00:00,TikTok,Green-Blake,"230 Brandon Bypass Apt. 679, New Melissa, TN 37505-3043",karenpayne@yahoo.com,399.882.0614x59395,Dustin Ramirez,Male 60+,Australia,61386,7906,3847,273,"$18,565.63",Jesus Rivera,Sales,"$64,645.60"
895,Campaign 895,2023-08-22 00:00:00,2023-08-30 00:00:00,TikTok,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Male 60+,India,82581,2304,2089,745,"$1,649.05",Kyle Serrano,Sales,"$40,530.72"
896,Campaign 896,2023-05-06 00:00:00,2023-05-09 00:00:00,YouTube,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Seniors 60+,UK,85993,232,2309,895,"$32,265.70",Thomas Ryan,Sign Up,$0.00
897,Campaign 897,2023-03-14 00:00:00,2023-03-20 00:00:00,Facebook,Hernandez Inc,"9452 Amber Mills, Lopezville, NV 94038-0838",uhansen@livingston.com,1-519-470-8931x1832,Traci Holden,Male 60+,USA,99295,491,1315,917,"$12,139.87",Melissa Haynes,Sales,"$63,267.89"
898,Campaign 898,2023-10-18 00:00:00,2023-11-12 00:00:00,Facebook,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,#ERROR!,Karen Bryan,Teens 13-19,UK,11108,9485,2569,790,"$27,413.34",Jesus Rivera,Sales,"$49,228.84"
899,Campaign 899,2023-08-01 00:00:00,2023-08-29 00:00:00,Email,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 18-40,Australia,32579,207,4698,583,"$26,822.00",Brandon Townsend Jr.,Sales,"$90,083.81"
900,Campaign 900,2023-07-31 00:00:00,2023-08-09 00:00:00,YouTube,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 40-60,India,49560,5896,887,811,"$38,240.99",Wesley Simon,Sales,"$27,802.95"
901,Campaign 901,2023-06-15 00:00:00,2023-07-14 00:00:00,Email,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Teens 13-19,Europe,49395,6363,4971,87,"$18,720.01",Wesley Simon,Sales,"$38,771.13"
902,Campaign 902,2023-04-20 00:00:00,2023-05-02 00:00:00,Facebook,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 18-40,Japan,83252,2931,3408,935,"$43,433.48",Thomas Ryan,Sales,"$51,009.16"
903,Campaign 903,2023-10-22 00:00:00,2023-11-09 00:00:00,Instagram,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Adults 18-40,UK,98338,3032,4430,478,"$49,431.99",Aaron Faulkner,Sales,"$27,064.56"
904,Campaign 904,2023-12-01 00:00:00,2023-12-20 00:00:00,Instagram,Benjamin and Sons,"861 Knox Cape Apt. 731, Lake John, CA 62474",lrice@yahoo.com,#ERROR!,Derek Juarez,Seniors 60+,Australia,79087,9410,3711,784,"$44,405.17",Thomas Ryan,Sales,"$64,762.07"
905,Campaign 905,2023-06-08 00:00:00,2023-06-25 00:00:00,TikTok,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 18-40,Australia,73150,6434,1357,729,"$30,193.97",Thomas Ryan,Sales,"$68,995.26"
906,Campaign 906,2023-06-23 00:00:00,2023-07-05 00:00:00,YouTube,Phillips-Lewis,"152 Munoz Spur, Richardbury, NE 64820-6682",ssullivan@yahoo.com,1-632-762-1401x4577,April Williams,Seniors 60+,LATAM,15167,7175,489,54,"$36,831.83",Aaron Faulkner,Sign Up,$0.00
907,Campaign 907,2023-10-14 00:00:00,2023-10-26 00:00:00,Email,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Female 60+,Europe,5803,1394,297,876,"$3,238.03",Wesley Simon,Sales,"$44,368.01"
908,Campaign 908,2023-04-03 00:00:00,2023-04-16 00:00:00,YouTube,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Seniors 60+,Japan,8828,5412,3290,375,"$21,718.37",Jesus Rivera,Sales,"$60,181.64"
909,Campaign 909,2023-08-20 00:00:00,2023-09-03 00:00:00,Instagram,Thomas-Proctor,"820 Butler Streets Suite 875, North Denisehaven, WV 66736-0964",brownmario@leonard.com,371.890.0231,Angela Moore,Male 18-40,Canada,9151,920,3546,736,"$18,091.29",Wesley Simon,Sales,"$60,855.35"
910,Campaign 910,2023-11-29 00:00:00,2023-12-11 00:00:00,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 40-60,Europe,72769,3990,1402,916,"$14,490.02",Lauren Riggs,Sales,"$49,469.32"
911,Campaign 911,2023-07-07 00:00:00,2023-07-16 00:00:00,YouTube,Hughes-Sullivan,"5874 Guerra Courts Suite 368, South Codyhaven, OR 93465",williamsnathaniel@yahoo.com,415-860-7532,Roy Obrien,Female 18-40,India,86655,3443,2434,154,"$12,488.28",Brandon Townsend Jr.,Sign Up,$0.00
912,Campaign 912,2023-04-29 00:00:00,2023-04-30 00:00:00,YouTube,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 60+,USA,14965,3343,2790,312,"$10,380.61",Melissa Haynes,Sales,"$53,401.96"
913,Campaign 913,2023-04-11 00:00:00,2023-05-03 00:00:00,Email,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Male 60+,Canada,68650,2922,287,763,"$26,723.68",Wesley Simon,Sign Up,$0.00
914,Campaign 914,2023-01-09 00:00:00,2023-02-04 00:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 18-40,USA,10267,7971,435,888,"$25,670.14",Thomas Ryan,Sign Up,$0.00
915,Campaign 915,2023-11-11 00:00:00,2023-12-02 00:00:00,TikTok,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Male 40-60,Canada,79611,679,2666,727,"$18,101.96",Michael Camacho,Sales,"$66,061.48"
